mid,title,release_date,summary,runtime,rating,num_votes
tt0089218,The Goonies,1985-06-07,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,114,7.8,232064
tt0172495,Gladiator,2000-05-04,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,155,8.5,1287124
tt3501632,Thor: Ragnarok,2017-10-24,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",130,7.9,549678
tt0361748,Inglourious Basterds,2009-08-19,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153,8.3,1206900
tt1302006,The Irishman,2019-11-14,"An aging hitman recalls his time with the mob and the intersecting events with his friend, Jimmy Hoffa, through the 1950-70s.",209,7.9,287231
tt0110912,Pulp Fiction,1994-09-10,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154,8.9,1752886
tt0993846,The Wolf of Wall Street,2013-12-25,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",180,8.2,1114433
tt3748528,Rogue One,2016-12-14,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,133,7.8,529070
tt5726616,Call Me by Your Name,2017-10-27,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",132,7.9,189936
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001-12-19,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178,8.8,1595430
tt2488496,Star Wars: Episode VII - The Force Awakens,2015-12-16,"Three decades after the Empire's defeat, a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker.",138,7.9,836350
tt4154756,Avengers: Infinity War,2018-04-25,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,149,8.5,772183
tt5463162,Deadpool 2,2018-05-15,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",119,7.7,448871
tt0114369,Se7en,1995-09-22,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127,8.6,1376980
tt0120815,Saving Private Ryan,1998-07-24,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",169,8.6,1183673
tt0133093,The Matrix,1999-03-31,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,136,8.7,1605622
tt8613070,Portrait de la jeune fille en feu,2019-09-18,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",122,8.2,36390
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980-05-21,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",124,8.7,1116508
tt0421715,The Curious Case of Benjamin Button,2008-12-25,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",166,7.8,566956
tt0108358,Tombstone,1993-12-25,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",130,7.8,120681
tt0109830,Forrest Gump,1994-07-06,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",142,8.8,1724760
tt2015381,Guardians of the Galaxy,2014-07-31,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,121,8.0,1011100
tt0137523,Fight Club,1999-10-15,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",139,8.8,1780576
tt0108052,Schindler's List,1993-12-15,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195,8.9,1163362
tt0120338,Titanic,1997-12-18,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",194,7.8,1009020
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983-05-25,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",131,8.3,915485
tt4912910,Mission: Impossible - Fallout,2018-07-25,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",147,7.7,271171
tt1856101,Blade Runner 2049,2017-10-04,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",164,8.0,428820
tt0102926,The Silence of the Lambs,1991-02-14,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118,8.6,1211572
tt3896198,Guardians of the Galaxy Vol. 2,2017-04-25,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",136,7.6,537945
tt0099685,Goodfellas,1990-09-12,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",146,8.7,973179
tt5013056,Dunkirk,2017-07-19,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.",106,7.9,515563
tt0407887,The Departed,2006-10-04,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151,8.5,1140920
tt1392190,Mad Max: Fury Road,2015-05-13,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",120,8.1,837589
tt6966692,Green Book,2018-11-16,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,130,8.2,320089
tt0482571,The Prestige,2006-10-19,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",130,8.5,1133426
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",143,8.0,992732
tt0071562,The Godfather: Part II,1974-12-18,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202,9.0,1078812
tt0088847,The Breakfast Club,1985-02-14,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,97,7.9,338883
tt0107290,Jurassic Park,1993-06-11,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,127,8.1,828726
tt1130884,Shutter Island,2010-02-18,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",138,8.1,1075407
tt7653254,Marriage Story,2019-11-28,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,137,8.0,210578
tt2267998,Gone Girl,2014-10-01,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",149,8.1,816545
tt0096874,Back to the Future Part II,1989-11-22,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",108,7.8,456521
tt0371746,Iron Man,2008-04-30,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",126,7.9,910004
tt0075314,Taxi Driver,1976-02-08,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",114,8.3,689149
tt0086250,Scarface,1983-12-09,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",170,8.3,707946
tt0078748,Alien,1979-05-28,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",117,8.4,755634
tt0470752,Ex Machina,2015-01-21,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,108,7.7,453445
tt4633694,Spider-Man: Into the Spider-Verse,2018-12-12,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",117,8.4,315884
tt0110413,Léon,1994-09-14,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",110,8.5,990397
tt3416742,What We Do in the Shadows,2014-06-19,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.",86,7.7,144461
tt0114814,The Usual Suspects,1995-07-19,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",106,8.5,954342
tt1345836,The Dark Knight Rises,2012-07-19,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",164,8.4,1459922
tt1392214,Prisoners,2013-09-19,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",153,8.1,568096
tt3498820,Captain America: Civil War,2016-04-27,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,147,7.8,632571
tt0081505,The Shining,1980-06-13,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",146,8.4,851346
tt1979376,Toy Story 4,2019-06-20,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",100,7.8,178109
tt0477348,No Country for Old Men,2007-11-21,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,122,8.1,814491
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",130,8.1,731117
tt0078788,Apocalypse Now,1979-08-15,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,147,8.4,580678
tt0091042,Ferris Bueller's Day Off,1986-06-11,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",103,7.8,306776
tt0167260,The Lord of the Rings: The Return of the King,2003-12-17,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201,8.9,1582242
tt0181875,Almost Famous,2000-09-22,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,122,7.9,243918
tt0330373,Harry Potter and the Goblet of Fire,2005-11-16,"Harry Potter (Daniel Radcliffe) finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",157,7.7,520679
tt0848228,The Avengers,2012-04-25,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,143,8.0,1230150
tt2119532,Hacksaw Ridge,2016-11-03,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139,8.1,406756
tt3783958,La La Land,2016-12-07,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",128,8.0,476386
tt5052448,Get Out,2017-02-24,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",104,7.7,458417
tt0120689,The Green Mile,1999-12-10,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",189,8.6,1090976
tt3659388,The Martian,2015-09-30,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",144,8.0,728045
tt3521164,Moana,2016-11-22,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",107,7.6,251660
tt0062622,2001: A Space Odyssey,1968-04-11,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",149,8.3,577064
tt4846340,Hidden Figures,2017-01-06,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,127,7.8,187982
tt0180093,Requiem for a Dream,2000-11-03,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,102,8.3,737514
tt1659337,The Perks of Being a Wallflower,2012-09-20,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,103,8.0,443973
tt0118715,The Big Lebowski,1998-03-06,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",117,8.1,699897
tt1727824,Bohemian Rhapsody,2018-10-24,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",134,8.0,422216
tt0499549,Avatar,2009-12-16,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,162,7.8,1090495
tt3890160,Baby Driver,2017-06-28,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",113,7.6,409822
tt2582802,Whiplash,2014-10-15,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,106,8.5,674411
tt0119116,The Fifth Element,1997-05-07,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",126,7.7,420130
tt4857264,Contratiempo,2017-01-06,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defence.,106,8.1,116655
tt1431045,Deadpool,2016-02-09,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",108,8.0,870578
tt0372784,Batman Begins,2005-06-15,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",140,8.2,1259619
tt3460252,The Hateful Eight,2015-12-30,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",168,7.8,487668
tt0338013,Eternal Sunshine of the Spotless Mind,2004-03-19,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",108,8.3,874401
tt0409459,Watchmen,2009-03-04,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",162,7.6,484324
tt0119217,Good Will Hunting,1998-01-09,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",126,8.3,821881
tt0050083,12 Angry Men,1957-04-10,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96,8.9,654105
tt1285016,The Social Network,2010-10-01,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",120,7.7,598336
tt0169547,American Beauty,1999-10-01,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,122,8.3,1036208
tt0073195,Jaws,1975-06-20,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",124,8.0,528092
tt0266697,Kill Bill: Vol. 1,2003-10-10,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",111,8.1,962434
tt0209144,Memento,2000-10-11,A man with short-term memory loss attempts to track down his wife's murderer.,113,8.4,1081767
tt2278388,The Grand Budapest Hotel,2014-02-26,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",99,8.1,675037
tt0208092,Snatch,2000-09-01,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",104,8.3,756183
tt0245429,Sen to Chihiro no kamikakushi,2001-07-20,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125,8.6,609158
tt0031381,Gone with the Wind,1940-01-17,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,238,8.1,277805
tt1798709,Her,2014-01-09,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",126,8.0,511846
tt1596363,The Big Short,2015-12-23,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,130,7.8,339648
tt0469494,There Will Be Blood,2008-01-25,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",158,8.2,493135
tt0090605,Aliens,1986-07-18,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",137,8.3,630350
tt3170832,Room,2015-12-10,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",118,8.1,347419
tt0110357,The Lion King,1994-06-23,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.",88,8.5,902420
tt0060196,"Il buono, il brutto, il cattivo",1966-12-23,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,161,8.8,660980
tt0045152,Singin' in the Rain,1952-04-11,A silent film production company and cast make a difficult transition to sound.,103,8.3,209190
tt0083658,Blade Runner,1982-06-25,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",117,8.1,667093
tt0113277,Heat,1995-12-15,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,170,8.2,552776
tt0443706,Zodiac,2007-03-02,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",157,7.7,429922
tt0106677,Dazed and Confused,1994-02-10,The adventures of high school and junior high students on the last day of school in May 1976.,102,7.6,157654
tt0162222,Cast Away,2000-12-22,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,143,7.8,501424
tt3397884,Sicario,2015-09-17,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,121,7.6,352906
tt0073486,One Flew Over the Cuckoo's Nest,1975-11-19,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",133,8.7,878163
tt2380307,Coco,2017-10-27,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105,8.4,336952
tt0304141,Harry Potter and the Prisoner of Azkaban,2004-05-31,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",142,7.9,522823
tt0144084,American Psycho,2000-04-14,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",101,7.6,462917
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017-12-01,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,115,8.2,397424
tt0167404,The Sixth Sense,1999-08-06,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,107,8.1,882818
tt1663202,The Revenant,2016-01-07,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,156,8.0,672270
tt0167261,The Lord of the Rings: The Two Towers,2002-12-18,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179,8.7,1429315
tt4364194,The Peanut Butter Falcon,2019-08-23,Zak runs away from his care home to make his dream of becoming a wrestler come true.,97,7.6,40965
tt0240772,Ocean's Eleven,2001-12-07,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,116,7.7,496736
tt0066921,A Clockwork Orange,1972-01-13,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",136,8.3,729074
tt2543164,Arrival,2016-11-10,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,116,7.9,562647
tt0105236,Reservoir Dogs,1992-09-02,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",99,8.3,882487
tt0080339,Airplane!,1980-07-02,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,88,7.7,202672
tt1010048,Slumdog Millionaire,2008-12-05,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",120,8.0,778219
tt0332280,The Notebook,2004-06-25,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",123,7.8,500020
tt0264464,Catch Me If You Can,2002-12-25,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",141,8.1,781470
tt0253474,The Pianist,2002-09-25,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,150,8.5,693915
tt0112573,Braveheart,1995-05-24,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",178,8.3,931042
tt0414387,Pride & Prejudice,2005-09-16,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",129,7.8,242834
tt0054215,Psycho,1960-09-08,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",109,8.5,574031
tt0364569,Oldeuboi,2003-11-21,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",120,8.4,491422
tt0903624,The Hobbit: An Unexpected Journey,2012-12-12,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",169,7.8,740090
tt0416449,300,2007-03-07,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,117,7.6,715909
tt2948356,Zootopia,2016-02-11,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",108,8.0,412964
tt3315342,Logan,2017-02-28,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",137,8.1,614095
tt1291584,Warrior,2011-09-09,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",140,8.2,421723
tt0120586,American History X,1998-11-20,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,119,8.5,1000582
tt1843866,Captain America: The Winter Soldier,2014-03-26,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",136,7.7,708922
